mature_acc	terms
MIMAT0000415-1	hsa-let-7i
MIMAT0000416-0	hsa-mir-1-3p;hsa-mir-1
MIMAT0000416-1	hsa-mir-1-2;hsa-mir-1d;hsa-mir-1-1;hsa-mir-1b
MIMAT0000417-0	hsa-mir-15b-5p;hsa-mir-15b
MIMAT0000417-2	hsa-mir-15b
MIMAT0000418-0	hsa-mir-23b-3p;hsa-mir-23b
MIMAT0000418-2	hsa-mir-23b
MIMAT0000419-0	hsa-mir-27b-3p;hsa-mir-27b
MIMAT0000419-2	hsa-mir-27b
MIMAT0000420-0	hsa-mir-30b-5p;hsa-mir-30b
MIMAT0000420-2	hsa-mir-30b
MIMAT0000421-0	hsa-mir-122-5p;hsa-mir-122a;hsa-mir-122
MIMAT0000421-1	hsa-mir-122;hsa-mir-122a
MIMAT0000422-0	hsa-mir-124-3p;hsa-mir-124a;hsa-mir-124
MIMAT0000422-1	hsa-mir-124-1;hsa-mir-124a-1;hsa-mir-124-2;hsa-mir-124a-2;hsa-mir-124-3;hsa-mir-124a-3
MIMAT0000423-0	hsa-mir-125b-5p;hsa-mir-125b
MIMAT0000423-1	hsa-mir-125b-1;hsa-mir-125b-2
MIMAT0000424-0	hsa-mir-128-3p;hsa-mir-128a
MIMAT0000424-1	hsa-mir-128-1;hsa-mir-128a;hsa-mir-128-2;hsa-mir-128b
MIMAT0000425-0	hsa-mir-130a-3p;hsa-mir-130a
MIMAT0000425-1	hsa-mir-130a
MIMAT0000426-0	hsa-mir-132-3p;hsa-mir-132
MIMAT0000426-1	hsa-mir-132
MIMAT0000427-0	hsa-mir-133a-3p
MIMAT0000427-1	hsa-mir-133a-1;hsa-mir-133a-2
MIMAT0000428-0	hsa-mir-135a-5p;hsa-mir-135a
MIMAT0000428-1	hsa-mir-135a-1;hsa-mir-135-1;hsa-mir-135a-2;hsa-mir-135-2
MIMAT0000429-0	hsa-mir-137
MIMAT0000429-1	hsa-mir-137
MIMAT0000430-0	hsa-mir-138-5p;hsa-mir-138
MIMAT0000430-1	hsa-mir-138-2;hsa-mir-138-1
MIMAT0000431-0	hsa-mir-140-5p;hsa-mir-140
MIMAT0000431-2	hsa-mir-140
MIMAT0000432-0	hsa-mir-141-3p;hsa-mir-141
MIMAT0000432-1	hsa-mir-141
MIMAT0000433-0	hsa-mir-142-5p
MIMAT0000433-1	hsa-mir-142
MIMAT0000434-0	hsa-mir-142-3p
MIMAT0000434-2	hsa-mir-142
MIMAT0000435-0	hsa-mir-143-3p;hsa-mir-143
MIMAT0000435-1	hsa-mir-143
MIMAT0000436-0	hsa-mir-144-3p;hsa-mir-144
MIMAT0000436-1	hsa-mir-144
MIMAT0000437-0	hsa-mir-145-5p;hsa-mir-145
MIMAT0000437-1	hsa-mir-145
MIMAT0000438-0	hsa-mir-152-3p
MIMAT0000438-1	hsa-mir-152
MIMAT0000439-0	hsa-mir-153-3p
MIMAT0000439-1	hsa-mir-153-1;hsa-mir-153-2
MIMAT0000440-0	hsa-mir-191-5p;hsa-mir-191
MIMAT0000440-1	hsa-mir-191
MIMAT0000441-0	hsa-mir-9-5p;hsa-mir-9
MIMAT0000441-1	hsa-mir-9-1;hsa-mir-9-2;hsa-mir-9-3
MIMAT0000442-0	hsa-mir-9-3p;hsa-mir-9*
MIMAT0000442-2	hsa-mir-9-1;hsa-mir-9-2;hsa-mir-9-3
MIMAT0000443-0	hsa-mir-125a-5p;hsa-mir-125a
MIMAT0000443-1	hsa-mir-125a
MIMAT0000444-0	hsa-mir-126-5p;hsa-mir-126*
MIMAT0000444-2	hsa-mir-126
MIMAT0000445-0	hsa-mir-126-3p;hsa-mir-126
MIMAT0000445-1	hsa-mir-126
MIMAT0000446-0	hsa-mir-127-3p;hsa-mir-127
MIMAT0000446-1	hsa-mir-127
MIMAT0000447-0	hsa-mir-134-5p
MIMAT0000447-1	hsa-mir-134
MIMAT0000448-0	hsa-mir-136-5p;hsa-mir-136
MIMAT0000448-1	hsa-mir-136
MIMAT0000449-0	hsa-mir-146a-5p;hsa-mir-146;hsa-mir-146a
MIMAT0000449-1	hsa-mir-146a;hsa-mir-146
MIMAT0000450-0	hsa-mir-149-5p;hsa-mir-149
MIMAT0000450-1	hsa-mir-149
MIMAT0000451-0	hsa-mir-150-5p;hsa-mir-150
MIMAT0000451-2	hsa-mir-150
MIMAT0000452-0	hsa-mir-154-5p;hsa-mir-154
MIMAT0000452-1	hsa-mir-154
MIMAT0000453-0	hsa-mir-154-3p;hsa-mir-154*
MIMAT0000453-2	hsa-mir-154
MIMAT0000454-0	hsa-mir-184
MIMAT0000454-1	hsa-mir-184
MIMAT0000455-0	hsa-mir-185-5p;hsa-mir-185
MIMAT0000455-2	hsa-mir-185
MIMAT0000456-0	hsa-mir-186-5p;hsa-mir-186
MIMAT0000456-1	hsa-mir-186
MIMAT0000457-0	hsa-mir-188-5p;hsa-mir-188
MIMAT0000457-1	hsa-mir-188
MIMAT0000458-0	hsa-mir-190a-5p;hsa-mir-190
MIMAT0000458-1	hsa-mir-190a;hsa-mir-190
MIMAT0000459-0	hsa-mir-193a-3p;hsa-mir-193;hsa-mir-193a
MIMAT0000459-1	hsa-mir-193a;hsa-mir-193
MIMAT0000460-0	hsa-mir-194-5p;hsa-mir-194
MIMAT0000460-1	hsa-mir-194-1;hsa-mir-194;hsa-mir-194-2
MIMAT0000461-0	hsa-mir-195-5p;hsa-mir-195
MIMAT0000461-1	hsa-mir-195
MIMAT0000462-0	hsa-mir-206
MIMAT0000462-1	hsa-mir-206
MIMAT0000510-0	hsa-mir-320a;hsa-mir-320
MIMAT0000510-1	hsa-mir-320a;hsa-mir-320
MIMAT0000617-0	hsa-mir-200c-3p;hsa-mir-200c
MIMAT0000617-1	hsa-mir-200c
MIMAT0000646-0	hsa-mir-155-5p;hsa-mir-155
MIMAT0000646-1	hsa-mir-155
MIMAT0000680-0	hsa-mir-106b-5p;hsa-mir-106b
MIMAT0000680-2	hsa-mir-106b
MIMAT0000681-0	hsa-mir-29c-3p;hsa-mir-29c
MIMAT0000681-2	hsa-mir-29c
